indicateur,type,rubrique,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Nombre et coût de projets financés par type de fonds,Ensemble,Nombre,Nombre,2003,1255,1255,2003,2003,annuelle,2003,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Nombre,Nombre,2004,1374,1374,2004,2004,annuelle,2004,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Nombre,Nombre,2005,1457,1457,2005,2005,annuelle,2005,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Nombre,Nombre,2006,1797,1797,2006,2006,annuelle,2006,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Nombre,Nombre,2007,1808,1808,2007,2007,annuelle,2007,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Nombre,Nombre,2008,1741,1741,2008,2008,annuelle,2008,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Nombre,Nombre,2009,2885,2885,2009,2009,annuelle,2009,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Nombre,Nombre,2011,2104,2104,2011,2011,annuelle,2011,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Nombre,Nombre,2012,2290,2290,2012,2012,annuelle,2012,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Nombre,Nombre,2013,10615,10615,2013,2013,annuelle,2013,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Nombre,Nombre,2014,11566,11566,2014,2014,annuelle,2014,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Nombre,Nombre,2015,12550,12550,2015,2015,annuelle,2015,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Nombre,Nombre,2016,13032,13032,2016,2016,annuelle,2016,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Nombre,Nombre,2017,13326,13326,2017,2017,annuelle,2017,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Nombre,Nombre,2018,12702,12702,2018,2018,annuelle,2018,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Nombre,Nombre,2019,13792,13792,2019,2019,annuelle,2019,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Nombre,Nombre,2020,24192,24192,2020,2020,annuelle,2020,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Nombre,Nombre,2021,18477,18477,2021,2021,annuelle,2021,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Nombre,Nombre,2022,20349,20349,2022,2022,annuelle,2022,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Nombre,Nombre,2023,15106,15106,2023,2023,annuelle,2023,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Coût,FCFA,2003,957000000,957000000,2003,2003,annuelle,2003,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Coût,FCFA,2004,912300000,912300000,2004,2004,annuelle,2004,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Coût,FCFA,2005,1310000000,1310000000,2005,2005,annuelle,2005,Nombre de cout de projets finances.csv,entreprises
Nombre et coût de projets financés par type de fonds,Ensemble,Coût,FCFA,2006,1522000000,1522000000,2006,2006,annuelle,2006,Nombre de cout de projets finances.csv,entreprises
