"indicateur","commune","rubrique","Unit","Date","Value"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Bana","Ensemble","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Bana","Public","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Bana","Public","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Bana","Public","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Bana","Public","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Bana","Public","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Bana","Privé","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Bana","Privé","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Bana","Privé","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Bana","Privé","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Bana","Privé","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Boromo","Ensemble","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Boromo","Ensemble","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Boromo","Ensemble","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Boromo","Ensemble","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Boromo","Ensemble","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Boromo","Public","Nombre","2018","0"
